Model,Set,Criteria fulfilled (%),Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (average week)
RR,Internal calibration split,9.523809523809524,18,nonevent,6
RR,Internal calibration split,9.523809523809524,19,nonevent,14
RR,Internal calibration split,9.523809523809524,20,nonevent,3
RR,Internal calibration split,9.523809523809524,21,nonevent,7
RR,Internal calibration split,9.523809523809524,22,event,6
RR,Internal calibration split,9.523809523809524,22,nonevent,29
RR,Internal calibration split,9.523809523809524,23,nonevent,4
RR,Internal calibration split,9.523809523809524,24,nonevent,22
RR,Internal calibration split,9.523809523809524,25,event,31
RR,Internal calibration split,9.523809523809524,25,nonevent,28
RR,Internal calibration split,9.523809523809524,26,nonevent,10
RR,Internal calibration split,9.523809523809524,27,nonevent,27
RR,Internal calibration split,9.523809523809524,28,nonevent,11
RR,Internal calibration split,9.523809523809524,29,nonevent,17
RR,Internal calibration split,9.523809523809524,30,nonevent,3
RR,Internal calibration split,9.523809523809524,31,nonevent,38
RR,Internal calibration split,9.523809523809524,34,nonevent,21
RR,Internal calibration split,9.523809523809524,36,nonevent,0
RR,Internal calibration split,9.523809523809524,38,nonevent,25
RR,Internal calibration split,9.523809523809524,42,nonevent,25
RR,External random split,26.190476190476193,0,event,0
RR,External random split,26.190476190476193,0,nonevent,0
RR,External random split,26.190476190476193,1,event,3
RR,External random split,26.190476190476193,1,nonevent,1
RR,External random split,26.190476190476193,2,event,1
RR,External random split,26.190476190476193,2,nonevent,2
RR,External random split,26.190476190476193,3,event,0
RR,External random split,26.190476190476193,3,nonevent,4
RR,External random split,26.190476190476193,4,event,3
RR,External random split,26.190476190476193,4,nonevent,3
